                               Game of the Rope - Description of the internal state

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
002  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
004   003 003  2 003  5 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  5 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  4 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  4 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  4 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
003   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  4 003  2 003  3 001  5 # # # . # # #  4 -1
003   003 003  2 003  4 003  4 001  5 001  5   003 001  4 003  4 003  2 001  3 001  5 # # # . # # #  4 -1
003   003 003  2 003  4 003  4 001  5 001  5   001 001  4 003  4 003  2 001  3 001  5 # # # . # # #  4 -1
003   003 003  2 003  4 003  4 001  5 001  5   001 001  4 003  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   001 003  2 003  4 003  4 001  5 001  5   001 001  4 003  4 001  2 001  3 001  5 # # # . # # #  4 -1
