                               Game of the Rope - Description of the internal state

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
002  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
003   001 003  4 003  4 001  4 001  5 001  5   001 001  4 003  4 003  4 001  5 001  5 # # # . # # #  2  0
003   001 003  4 001  4 001  4 001  5 001  5   001 001  4 003  4 003  4 001  5 001  5 # # # . # # #  2  0
003   001 003  4 001  4 001  4 001  5 001  5   001 001  4 001  4 003  4 001  5 001  5 # # # . # # #  2  0
003   001 003  4 001  4 001  4 001  5 001  5   001 001  4 001  4 001  4 001  5 001  5 # # # . # # #  2  0
003   001 001  4 001  4 001  4 001  5 001  5   001 001  4 001  4 001  4 001  5 001  5 # # # . # # #  2  0
003   001 001  4 001  4 001  4 001  5 001  5   002 001  4 001  4 001  4 001  5 001  5 # # # . # # #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 001  4 001  4 001  4 001  5 001  5 # # # . # # #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 001  4 001  4 001  4 002  5 001  5 # # # . # # #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 001  4 001  4 001  4 003  5 001  5 # # # . 3 # #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 002  4 001  4 001  4 003  5 001  5 # # # . 3 # #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 003  4 001  4 001  4 003  5 001  5 # # # . 3 0 #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 003  4 001  5 001  4 003  5 001  5 # # # . 3 0 #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 003  4 001  5 002  4 003  5 001  5 # # # . 3 0 #  2  0
003   002 001  4 001  4 001  4 001  5 001  5   002 003  4 001  5 003  4 003  5 001  5 # # # . 3 0 2  2  0
003   002 001  4 001  4 001  4 002  5 001  5   002 003  4 001  5 003  4 003  5 001  5 # # # . 3 0 2  2  0
003   002 001  4 001  4 001  4 002  5 001  5   003 003  4 001  5 003  4 003  5 001  5 # # # . 3 0 2  2  0
003   002 001  4 001  4 001  4 003  5 001  5   003 003  4 001  5 003  4 003  5 001  5 3 # # . 3 0 2  2  0
003   002 001  4 001  4 001  4 003  5 002  5   003 003  4 001  5 003  4 003  5 001  5 3 # # . 3 0 2  2  0
003   002 001  4 001  4 001  4 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 # . 3 0 2  2  0
003   002 001  4 001  4 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 # . 3 0 2  2  0
003   002 001  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 # . 3 0 2  2  0
003   002 002  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 # . 3 0 2  2  0
003   002 003  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 0 . 3 0 2  2  0
003   003 003  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 0 . 3 0 2  2  0
004   003 003  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  5 001  5 3 4 0 . 3 0 2  2  0
004   003 003  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  4 001  5 001  5 003  5 003  5   003 003  4 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  4 001  5 001  5 003  5 003  5   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  4 001  5 001  5 003  5 003  5   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  5 003  5   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  5 003  5   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  5 003  4   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  5 003  4   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  4 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  3 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  3 003  4 001  5 3 4 0 . 3 0 2  2  0
004   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  3 003  4 001  5 3 4 0 . 3 0 2  2  0
003   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  3 003  4 001  5 # # # . # # #  3  0
003   003 003  3 001  5 001  5 003  4 003  4   003 003  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   003 003  3 001  5 001  5 001  4 003  4   003 003  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   003 003  3 001  5 001  5 001  4 003  4   001 003  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   001 003  3 001  5 001  5 001  4 003  4   001 003  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   001 003  3 001  5 001  5 001  4 003  4   001 001  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   001 001  3 001  5 001  5 001  4 003  4   001 001  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   001 001  3 001  5 001  5 001  4 001  4   001 001  3 001  5 003  3 001  4 001  5 # # # . # # #  3  0
003   001 001  3 001  5 001  5 001  4 001  4   001 001  3 001  5 001  3 001  4 001  5 # # # . # # #  3  0
003   001 001  3 001  5 001  5 001  4 001  4   002 001  3 001  5 001  3 001  4 001  5 # # # . # # #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  3 001  5 001  3 001  4 001  5 # # # . # # #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  3 002  5 001  3 001  4 001  5 # # # . # # #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  3 003  5 001  3 001  4 001  5 # # # . 1 # #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  3 003  5 001  3 002  4 001  5 # # # . 1 # #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  3 003  5 001  3 003  4 001  5 # # # . 1 3 #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  4 003  5 001  3 003  4 001  5 # # # . 1 3 #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  4 003  5 002  3 003  4 001  5 # # # . 1 3 #  3  0
003   002 001  3 001  5 001  5 001  4 001  4   002 001  4 003  5 003  3 003  4 001  5 # # # . 1 3 2  3  0
003   002 001  3 001  5 002  5 001  4 001  4   002 001  4 003  5 003  3 003  4 001  5 # # # . 1 3 2  3  0
003   002 001  3 001  5 002  5 001  4 001  4   003 001  4 003  5 003  3 003  4 001  5 # # # . 1 3 2  3  0
003   002 001  3 002  5 002  5 001  4 001  4   003 001  4 003  5 003  3 003  4 001  5 # # # . 1 3 2  3  0
003   002 001  3 002  5 003  5 001  4 001  4   003 001  4 003  5 003  3 003  4 001  5 2 # # . 1 3 2  3  0
003   002 001  3 002  5 003  5 001  5 001  4   003 001  4 003  5 003  3 003  4 001  5 2 # # . 1 3 2  3  0
003   002 001  3 003  5 003  5 001  5 001  4   003 001  4 003  5 003  3 003  4 001  5 2 1 # . 1 3 2  3  0
003   002 002  3 003  5 003  5 001  5 001  4   003 001  4 003  5 003  3 003  4 001  5 2 1 # . 1 3 2  3  0
003   002 003  3 003  5 003  5 001  5 001  4   003 001  4 003  5 003  3 003  4 001  5 2 1 0 . 1 3 2  3  0
003   002 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  3 003  4 001  5 2 1 0 . 1 3 2  3  0
003   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  3 003  4 001  5 2 1 0 . 1 3 2  3  0
004   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  3 003  4 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  3 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  3 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  5 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
004   003 003  3 003  5 003  4 001  5 001  5   003 001  4 003  5 003  2 003  3 001  5 2 1 0 . 1 3 2  3 -1
